Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,My Bid
"09/13/2021","07/12/2021","292017CA006235A001HC","Accepting Proxy","664915.15","0","502858","Wilmington Trust Company","Wilmington Trust Company","HIDDEN","18815 WIMBLEDON CIR","LUTZ","33558","1827090IE000002000090U",""
"09/13/2021","07/14/2021","292019CA002731A001HC","Accepting Proxy","241711.93","0","167140","US BANK TRUST NATIONAL ASSOCIATION AS TRUSTEE OF DWELLING SERIES IV TRUST","US BANK TRUST NATIONAL ASSOCIATION AS TRUSTEE OF DWELLING SERIES IV TRUST","160000.00","3313 W BURKE ST","TAMPA","33614","18283417Y000006000080U",""
"09/13/2021","08/04/2021","292019CA002359A001HC","Accepting Proxy","260929.59","0","68032","The Bank Of New York Mellon","The Bank Of New York Mellon","93500.00","6003 ESTELLE AVE","GIBSONTON","33534","1930231R4000000000660U",""
"09/14/2021","07/14/2021","292020CA006816A001HC","Accepting Proxy","216732.39","0","211041","US BANK TRUST NATIONAL ASSOCIATION","US BANK TRUST NATIONAL ASSOCIATION","HIDDEN","3110 TOSCANA CIR","TAMPA","33611","18301070DC00000000140A",""
"09/14/2021","08/05/2021","292011CA004569A001HC","Accepting Proxy","792767.68","0","229386","JJJTB INC","JJJTB INC","HIDDEN","1201 WILLIAMS RD","PLANT CITY","33565","222804ZZZ000004628500U",""
"09/14/2021","08/11/2021","292016CA006557A001HC","Accepting Proxy","70403.19","0","44345","Rosewood Gardens of Tampa Bay Inc","Rosewood Gardens of Tampa Bay Inc","100.00","2800 E 113TH AVE 2 217","TAMPA","33612","192817432000002002170A",""
"09/15/2021","07/19/2021","292017CA011413A001HC","Accepting Proxy","95385.34","0","53062","BANK OF AMERICA NA","BANK OF AMERICA NA","HIDDEN","8108 E 19TH AVE","TAMPA","33619","1929121NW000003000160U",""
"09/15/2021","08/11/2021","292016CA007332A001HC","Accepting Proxy","110316.87","0","77914","Deutsche Bank National Trust Company","Deutsche Bank National Trust Company","HIDDEN","2216 E CAYUGA ST","TAMPA","33610","1929054AG000000000040A",""
"09/15/2021","08/11/2021","292017CA004429A001HC","Accepting Proxy","435132.11","0","334155","WELLS FARGO BANK N.A.","WELLS FARGO BANK N.A.","HIDDEN","19012 FERN MEADOW LOOP","LUTZ","33558","18270865J000001000020U",""
"09/15/2021","08/17/2021","292020CA010077A001HC","Accepting Proxy","233341.50","0","193327","FREEDOM MORTGAGE CORPORATION","FREEDOM MORTGAGE CORPORATION","HIDDEN","489 FOX RUN TRL","APOLLO BEACH","33572","1931211TM000010000280U",""
"09/17/2021","07/15/2021","292020CA000922A001HC","Accepting Proxy","269399.82","0","104185","Deutsche Bank National Trust Company, As Indenture Trustee","Deutsche Bank National Trust Company, As Indenture Trustee","HIDDEN","3380 SPY TOWER CT","VALRICO","33594","21292073S000013000100U",""
